Expression	Value	Location	Type	
ab	Error (col 1): Unknown or ambiguous symbol. ab			
testInput_f32_10khz	Error (col 1): Unknown or ambiguous symbol. testInput_f32_10khz			
[345]	1.97'922'617E-7	0x2000'7c34	float32_t	
[346]	2.25'793'471E-7	0x2000'7c38	float32_t	
[347]	1.55'512'481E-7	0x2000'7c3c	float32_t	
[348]	2.87'991'554E-7	0x2000'7c40	float32_t	
[349]	3.78'841'037E-7	0x2000'7c44	float32_t	
[350]	3.32'664'854E-7	0x2000'7c48	float32_t	
[351]	3.0'422'779E-8	0x2000'7c4c	float32_t	
[352]	2.89'246'543E-7	0x2000'7c50	float32_t	
[353]	9.53'447'952E-8	0x2000'7c54	float32_t	
[354]	2.74'074'154E-7	0x2000'7c58	float32_t	
[355]	2.81'295'229E-7	0x2000'7c5c	float32_t	
[356]	3.60'255'342E-7	0x2000'7c60	float32_t	
[357]	2.48'267'042E-7	0x2000'7c64	float32_t	
[358]	2.15'400'007E-7	0x2000'7c68	float32_t	
[359]	4.44'658'951E-7	0x2000'7c6c	float32_t	
[360]	1.50'074'584E-7	0x2000'7c70	float32_t	
[361]	4.65'828'606E-7	0x2000'7c74	float32_t	
[362]	5.03'754'677E-7	0x2000'7c78	float32_t	
[363]	7.82'824'429E-7	0x2000'7c7c	float32_t	
[364]	6.92'142'464E-7	0x2000'7c80	float32_t	
[365]	1.95'298'966E-7	0x2000'7c84	float32_t	
[366]	1.5'727'376E-7	0x2000'7c88	float32_t	
[367]	2.11'129'844E-7	0x2000'7c8c	float32_t	
[368]	2.06'417'852E-7	0x2000'7c90	float32_t	
[369]	4.33'794'618E-8	0x2000'7c94	float32_t	
[370]	2.6'674'661E-7	0x2000'7c98	float32_t	
[371]	3.16'659'594E-7	0x2000'7c9c	float32_t	
[372]	3.85'764'821E-7	0x2000'7ca0	float32_t	
[373]	2.89'547'188E-7	0x2000'7ca4	float32_t	
[374]	1.33'116'231E-7	0x2000'7ca8	float32_t	
[375]	1.08'706'409E-7	0x2000'7cac	float32_t	
[376]	7.10'494'874E-7	0x2000'7cb0	float32_t	
[377]	3.13'633'336E-7	0x2000'7cb4	float32_t	
[378]	2.84'771'119E-7	0x2000'7cb8	float32_t	
[379]	1.85'680'918E-7	0x2000'7cbc	float32_t	
[380]	2.428'676E-7	0x2000'7cc0	float32_t	
[381]	1.34'173'277E-7	0x2000'7cc4	float32_t	
[382]	2.28'616'145E-7	0x2000'7cc8	float32_t	
[383]	1.19'361'232E-7	0x2000'7ccc	float32_t	
[384]	3.06'187'758E-7	0x2000'7cd0	float32_t	
[385]	1.5'885'206E-7	0x2000'7cd4	float32_t	
[386]	2.9'376'011E-7	0x2000'7cd8	float32_t	
[387]	4.87'912'928E-7	0x2000'7cdc	float32_t	
[388]	3.04'384'628E-7	0x2000'7ce0	float32_t	
[389]	4.96'256'462E-6	0x2000'7ce4	float32_t	
[390]	3.74'285'889E-7	0x2000'7ce8	float32_t	
[391]	2.30'959'202E-7	0x2000'7cec	float32_t	
[392]	1.45'077'024E-7	0x2000'7cf0	float32_t	
[393]	3.28'489'762E-7	0x2000'7cf4	float32_t	
[394]	6.5'481'565E-8	0x2000'7cf8	float32_t	
[395]	3.80'749'981E-7	0x2000'7cfc	float32_t	
[396]	6.98'549'769E-8	0x2000'7d00	float32_t	
[397]	8.44'224'743E-8	0x2000'7d04	float32_t	
[398]	5.31'752'391E-7	0x2000'7d08	float32_t	
[399]	2.91'620'836E-7	0x2000'7d0c	float32_t	
[400]	9.79'760'557E-7	0x2000'7d10	float32_t	
[401]	4.42'963'511E-7	0x2000'7d14	float32_t	
[402]	1.18'366'552E-6	0x2000'7d18	float32_t	
[403]	1.24'453'913E-6	0x2000'7d1c	float32_t	
[404]	2.79'276'179E-7	0x2000'7d20	float32_t	
[405]	4.9'126'163E-7	0x2000'7d24	float32_t	
[406]	1.67'656'097E-7	0x2000'7d28	float32_t	
[407]	9.74'308'065E-8	0x2000'7d2c	float32_t	
[408]	3.73'770'433E-7	0x2000'7d30	float32_t	
[409]	4.9'419'171E-8	0x2000'7d34	float32_t	
[410]	1.90'748'807E-7	0x2000'7d38	float32_t	
[411]	1.58'993'487E-7	0x2000'7d3c	float32_t	
[412]	1.3'677'419E-7	0x2000'7d40	float32_t	
[413]	2.56'582'666E-7	0x2000'7d44	float32_t	
[414]	6.62'750'153E-7	0x2000'7d48	float32_t	
[415]	3.65'889'804E-7	0x2000'7d4c	float32_t	
[416]	3.82'922'536E-7	0x2000'7d50	float32_t	
[417]	1.24'232'884E-7	0x2000'7d54	float32_t	
[418]	4.62'675'835E-8	0x2000'7d58	float32_t	
[419]	3.32'896'057E-8	0x2000'7d5c	float32_t	
[420]	1.49'836'794E-7	0x2000'7d60	float32_t	
[421]	1.60'546'051E-7	0x2000'7d64	float32_t	
[422]	2.01'542'903E-7	0x2000'7d68	float32_t	
[423]	9.85'510'127E-8	0x2000'7d6c	float32_t	
[424]	2.03'992'144E-7	0x2000'7d70	float32_t	
[425]	2.37'120'233E-7	0x2000'7d74	float32_t	
