Expression	Value	Location	Type	
ab	Error (col 1): Unknown or ambiguous symbol. ab			
testInput_f32_10khz	Error (col 1): Unknown or ambiguous symbol. testInput_f32_10khz			
[919]	1.14'506'781E-6	0x2000'852c	float32_t	
[920]	6.51'275'911E-7	0x2000'8530	float32_t	
[921]	1.98'757'698E-6	0x2000'8534	float32_t	
[922]	3.2'575'798E-7	0x2000'8538	float32_t	
[923]	6.61'956'392E-7	0x2000'853c	float32_t	
[924]	6.72'543'422E-7	0x2000'8540	float32_t	
[925]	1.63'609'755E-7	0x2000'8544	float32_t	
[926]	5.22'594'746E-7	0x2000'8548	float32_t	
[927]	7.74'207'706E-7	0x2000'854c	float32_t	
[928]	5.52'757'456E-7	0x2000'8550	float32_t	
[929]	1.98'995'576E-6	0x2000'8554	float32_t	
[930]	1.27'045'803E-6	0x2000'8558	float32_t	
[931]	1.81'268'911E-6	0x2000'855c	float32_t	
[932]	1.06'639'732E-6	0x2000'8560	float32_t	
[933]	8.73'837'678E-7	0x2000'8564	float32_t	
[934]	2.11'431'484E-6	0x2000'8568	float32_t	
[935]	1.59'586'443E-6	0x2000'856c	float32_t	
[936]	2.8'749'937E-6	0x2000'8570	float32_t	
[937]	1.40'040'697E-6	0x2000'8574	float32_t	
[938]	2.15'458'067E-6	0x2000'8578	float32_t	
[939]	8.41'443'523E-7	0x2000'857c	float32_t	
[940]	1.02'014'224E-6	0x2000'8580	float32_t	
[941]	3.35'211'075E-6	0x2000'8584	float32_t	
[942]	2.73'090'791E-6	0x2000'8588	float32_t	
[943]	7.02'364'196E-6	0x2000'858c	float32_t	
[944]	4.20'837'432E-6	0x2000'8590	float32_t	
[945]	1.12'585'567E-5	0x2000'8594	float32_t	
[946]	2.54'159'913E-5	0x2000'8598	float32_t	
[947]	4.98'837'016E-6	0x2000'859c	float32_t	
[948]	5.60'122'953E-6	0x2000'85a0	float32_t	
[949]	3.35'468'803E-6	0x2000'85a4	float32_t	
[950]	1.90'252'626E-6	0x2000'85a8	float32_t	
[951]	4.48'377'432E-6	0x2000'85ac	float32_t	
[952]	2.68'358'485E-6	0x2000'85b0	float32_t	
[953]	2.95'078'894E-6	0x2000'85b4	float32_t	
[954]	1.7'516'295E-6	0x2000'85b8	float32_t	
[955]	9.46'061'505E-7	0x2000'85bc	float32_t	
[956]	2.47'627'167E-6	0x2000'85c0	float32_t	
[957]	1.58'710'873E-6	0x2000'85c4	float32_t	
[958]	2.21'793'175E-6	0x2000'85c8	float32_t	
[959]	1.19'519'518E-6	0x2000'85cc	float32_t	
[960]	1.00'965'042E-6	0x2000'85d0	float32_t	
[961]	1.68'801'961E-7	0x2000'85d4	float32_t	
[962]	7.09'841'231E-7	0x2000'85d8	float32_t	
[963]	4.95'832'353E-7	0x2000'85dc	float32_t	
[964]	8.53'602'842E-7	0x2000'85e0	float32_t	
[965]	1.26'457'746E-6	0x2000'85e4	float32_t	
[966]	1.00'250'918E-6	0x2000'85e8	float32_t	
[967]	1.32'073'717E-6	0x2000'85ec	float32_t	
[968]	4.84'056'443E-7	0x2000'85f0	float32_t	
[969]	9.0'657'602E-7	0x2000'85f4	float32_t	
[970]	8.64'702'088E-7	0x2000'85f8	float32_t	
[971]	8.59'074'362E-7	0x2000'85fc	float32_t	
[972]	1.27'675'619E-7	0x2000'8600	float32_t	
[973]	1.18'202'081E-6	0x2000'8604	float32_t	
[974]	5.76'044'897E-7	0x2000'8608	float32_t	
[975]	8.0'703'478E-7	0x2000'860c	float32_t	
[976]	4.45'910'501E-7	0x2000'8610	float32_t	
[977]	5.74'627'279E-7	0x2000'8614	float32_t	
[978]	5.73'332'443E-7	0x2000'8618	float32_t	
[979]	6.40'867'881E-7	0x2000'861c	float32_t	
[980]	1.15'268'415E-6	0x2000'8620	float32_t	
[981]	7.81'600'249E-7	0x2000'8624	float32_t	
[982]	1.06'550'249E-6	0x2000'8628	float32_t	
[983]	4.24'172'953E-7	0x2000'862c	float32_t	
[984]	1.05'856'236E-6	0x2000'8630	float32_t	
[985]	6.4'341'566E-7	0x2000'8634	float32_t	
[986]	3.0'230'359E-7	0x2000'8638	float32_t	
[987]	5.59'360'274E-7	0x2000'863c	float32_t	
[988]	6.39'902'339E-7	0x2000'8640	float32_t	
[989]	7.31'646'537E-7	0x2000'8644	float32_t	
[990]	4.93'512'232E-7	0x2000'8648	float32_t	
[991]	7.93'586'025E-7	0x2000'864c	float32_t	
[992]	3.56'646'098E-7	0x2000'8650	float32_t	
[993]	6.49'373'078E-7	0x2000'8654	float32_t	
[994]	8.70'454'414E-7	0x2000'8658	float32_t	
[995]	3.98'030'608E-7	0x2000'865c	float32_t	
[996]	3.88'372'371E-7	0x2000'8660	float32_t	
[997]	3.08'702'568E-7	0x2000'8664	float32_t	
[998]	7.16'039'494E-7	0x2000'8668	float32_t	
[999]	5.3'172'198E-7	0x2000'866c	float32_t	
[1000]	3.82'426'521E-7	0x2000'8670	float32_t	
[1001]	5.73'706'472E-7	0x2000'8674	float32_t	
[1002]	9.27'690'451E-7	0x2000'8678	float32_t	
[1003]	9.81'904'691E-7	0x2000'867c	float32_t	
[1004]	1.10'176'916E-6	0x2000'8680	float32_t	
[1005]	9.51'242'328E-7	0x2000'8684	float32_t	
[1006]	7.35'868'127E-7	0x2000'8688	float32_t	
[1007]	6.63'426'931E-7	0x2000'868c	float32_t	
[1008]	4.71'471'623E-7	0x2000'8690	float32_t	
[1009]	7.79'305'708E-7	0x2000'8694	float32_t	
[1010]	3.18'584'995E-7	0x2000'8698	float32_t	
[1011]	1.26'000'441E-6	0x2000'869c	float32_t	
[1012]	3.07'748'451E-7	0x2000'86a0	float32_t	
[1013]	3.81'262'907E-7	0x2000'86a4	float32_t	
[1014]	1.48'692'749E-7	0x2000'86a8	float32_t	
[1015]	3.60'455'239E-8	0x2000'86ac	float32_t	
[1016]	5.2'241'711E-7	0x2000'86b0	float32_t	
[1017]	7.65'025'959E-7	0x2000'86b4	float32_t	
[1018]	9.17'711'532E-7	0x2000'86b8	float32_t	
[1019]	9.45'591'239E-7	0x2000'86bc	float32_t	
[1020]	3.81'566'053E-7	0x2000'86c0	float32_t	
[1021]	8.70'141'776E-7	0x2000'86c4	float32_t	
[1022]	7.75'417'106E-7	0x2000'86c8	float32_t	
[1023]	7.93'654'692E-7	0x2000'86cc	float32_t	
